group_id,experiment_id,question_id,stage_2_i,s1_mean_value,consensus_value,raters_fermi_mean,raters_number_mean,features_fermi_whitelist,features_number_whitelist,features_ff_mean,features_ff_std,features_ff_min,features_ff_25%,features_ff_50%,features_ff_75%,features_ff_max,features_ff_percentile_90
571,4,3,3,75000230,300,8.111111111,0.555555556,0.285714286,0.25,0.126316134,0.116383811,-0.132301609,0.050045064,0.100735112,0.179060108,0.546998243,0.267027486
571,4,1,4,101.5,200,9.125,0.875,0.37037037,0.074074074,0.117355488,0.123365799,-0.079856833,0.048358356,0.088329692,0.156492632,1.000000031,0.241391837
573,4,7,1,255,220,6.333333333,5.5,0.173076923,0.115384615,0.118031831,0.126637719,-0.189711246,0.039753942,0.099788405,0.166379816,0.81865854,0.281824874
573,4,8,2,100,100,4.166666667,6.333333333,0.14,0.16,0.1016333,0.126671477,-0.301463054,0.02744868,0.0895779,0.15777341,1.000000124,0.249075141
573,4,5,3,16,30,6.333333333,3.833333333,0.119047619,0.095238095,0.11220594,0.117555127,-0.154090432,0.046520324,0.105709096,0.157762107,0.999999985,0.227100291
573,4,2,4,400,400,8.5,1.666666667,0.116666667,0.133333333,0.165001573,0.156718183,-0.133943371,0.074714281,0.131672588,0.227370182,0.999999983,0.298088993
576,3,6,1,41.75,10,4,4.833333333,0.2,0.2,0.140261734,0.139305558,-0.179449731,0.075149433,0.126164513,0.184795845,1.000000008,0.251329392
576,3,8,2,19.25,20,0.5,9.5,0.055555556,0.555555556,0.099897453,0.107809078,-0.175920932,0.040289338,0.097166805,0.163760749,0.478128661,0.238593
576,3,3,3,37500147.5,200,0.166666667,9.833333333,0,0.466666667,0.115277058,0.098180556,-0.136779751,0.052225252,0.104347494,0.173725772,0.546998243,0.2205034
576,3,4,4,10406.66667,4000,5.666666667,3.333333333,0.25,0.05,0.112664499,0.14034102,-0.179449731,0.043071178,0.084101226,0.172623392,1.000000004,
579,4,3,4,100000135.3,410,9,2,0.219512195,0.146341463,0.113801222,0.12788912,-0.108481673,0.038928701,0.086347242,0.150938066,1.000000139,0.227482733
580,4,3,1,323.25,370,5.5,7,0.173913043,0.217391304,0.115871084,0.107557898,-0.07785461,0.046607152,0.094640039,0.156134803,0.546998243,0.223387381
580,4,7,2,231.5,230,7.166666667,1.666666667,0.172413793,0,0.116048679,0.126897126,-0.137683939,0.039718662,0.101492461,0.160194121,0.81865854,0.264726555
